Program Name,Category,Funding Amount,Equity,Application URL
Stripe Developer Grant,Grant,"$10,000",0%,https://stripe.com
AWS Activate Founders,Non-Dilutive,"$5,000 - $100,000",0%,https://aws.amazon.com/activate
Google for Startups Cloud Program,Non-Dilutive,"$2,000 - $350,000",0%,https://cloud.google.com/startup
Fast Forward Tech Nonprofit Accelerator,Accelerator,"$25,000",0%,https://ffwd.org
Microsoft for Startups Founders Hub,Non-Dilutive,"$1,000 - $150,000",0%,https://startups.microsoft.com
VentureWell E-Team Grant,Grant,"$5,000 - $25,000",0%,https://venturewell.org
Amber Grant for Women,Grant,"$10,000 - $25,000",0%,https://ambergrantsforwomen.com
IFundWomen Micro-Grant Network,Grant,"$5,000 - $10,000",0%,https://ifundwomen.com
National Science Foundation (NSF) SBIR,Grant,"$275,000+",0%,https://seedfund.nsf.gov
NVIDIA Inception Program,Accelerator,"GPU Credits & Support",0%,https://nvidia.com/inception
Y Combinator Startup School,Accelerator,"Community & Perks",0%,https://startupschool.org
Techstars Accelerator,Accelerator,"$120,000",6%,https://techstars.com
500 Global Accelerator,Accelerator,"$150,000",6%,https://500.co
Antler Global Startup Generator,Accelerator,"$250,000",10%,https://antler.co
MassChallenge Accelerator,Accelerator,"Cash Prizes (No Equity)",0%,https://masschallenge.org
NewME Accelerator,Accelerator,"Resources & Mentorship",0%,https://newme.accelerator
Roddenberry Fellowship,Grant,"$50,000",0%,https://roddenberryfoundation.org
Echoing Green Fellowship,Grant,"$80,000 - $90,000",0%,https://echoinggreen.org
Hellemans Foundation Grant,Grant,"Varies",0%,https://hellemansfoundation.org
Kauffman Foundation Grants,Grant,"Varies",0%,https://kauffman.org
SBA Small Business Innovation Research,Grant,"$150,000 - $1,000,000+",0%,https://sbir.gov
SBIR / STTR Phase I,Grant,"$150,000 - $250,000",0%,https://sbir.gov
Black Founder Startup Grant (SoGal),Grant,"$5,000 - $10,000",0%,https://sogalfoundation.com
Cartier Women's Initiative,Grant,"$30,000 - $100,000",0%,https://cartierwomensinitiative.com
Tory Burch Foundation Fellowship,Grant,"$5,000",0%,https://toryburchfoundation.org
Comcast RISE Investment,Grant,"$10,000",0%,https://comcastrise.com
FedEx Small Business Grant,Grant,"$15,000 - $50,000",0%,https://fedex.com/en-us/small-business/grant-contest.html
Visa Everywhere Initiative,Grant,"$10,000 - $50,000",0%,https://usa.visa.com/run-your-business/visa-everywhere-initiative.html
HerRise Micro-Grant,Grant,"$1,000 - $5,000",0%,https://herrise.org
Galaxy Grants,Grant,"$2,500 - $5,000",0%,https://galaxygrants.com
Backstage Capital,Accelerator,"$100,000","Custom",https://backstagecapital.com
TechRise Chicago,Grant,"$5,000 - $25,000",0%,https://techrise.org
Halcyon Incubator,Accelerator,"In-Kind Support & Stipend",0%,https://halcyonhouse.org
Alchemist Accelerator,Accelerator,"$25,000","5%",https://alchemistaccelerator.com
Techstars Anywhere,Accelerator,"$120,000","6%",https://techstars.com
Plug and Play Accelerator,Accelerator,"Varies","Custom",https://plugandplaytechcenter.com
Startupbootcamp,Accelerator,"€15,000","8%",https://startupbootcamp.org
MassCEC Catalyst Program,Grant,"$65,000",0%,https://masscec.com
SBIR Phase II,Grant,"$750,000 - $1,500,000",0%,https://sbir.gov
OpenAI for Startups,Non-Dilutive,"API Credits",0%,https://openai.com
Anthropic Startup Program,Non-Dilutive,"API Credits",0%,https://anthropic.com
IBM Hyper Protect Accelerator,Accelerator,"In-Kind Support & Credits",0%,https://ibm.com
Oracle for Startups,Non-Dilutive,"Cloud Credits",0%,https://oracle.com/cloud/startups
Herotechies Grant,Grant,"$1,000 - $5,000",0%,https://herotechies.com
Nav.com Small Business Grant,Grant,"$10,000",0%,https://nav.com
Hello Alice Small Business Grant,Grant,"$5,000 - $25,000",0%,https://helloalice.com
Amber Grant Monthly,Grant,"$10,000",0%,https://ambergrantsforwomen.com
Skip Small Business Grant,Grant,"$1,000 - $5,000",0%,https://helloskip.com
DigitalOcean Hatch,Non-Dilutive,"$1,000 - $10,000",0%,https://digitalocean.com/hatch
HerSuiteSpot Grant,Grant,"$1,000 - $5,000",0%,https://hersuitespot.com
